ASIN,SKU,製品概要,ブランド,タイトル,タイトルリンク,URL,メイン画像,親ASIN,カテゴリー,親カテゴリー,親カテゴリーBSR,親カテゴリーBSR増加数,親カテゴリーBSR成長率,子カテゴリー,子カテゴリーBSR,月間販売数,月間販売数成長率,月間販売額(￥),子ASIN販売数,子ASIN販売額(￥),バリエーション数,価格(￥),prime価格(￥),Coupon,Q&A,評価数,月間評価値増加数,評価値,評価率,FBA(￥),粗利益,等級,出品日付,販売時間,配送方法,配送料金(￥),LQS,セラー数,BuyBoxセラー,BuyBoxタイプ,セラー所在地,セラー情報,セラーリンク,Best Sellerマーク,スポンサー,ブランド紹介,スポンサー ブランド,タイムセール,Amazon's Choice,New Releaseマーク,A+ページ,動画紹介,ACキーワード,重量,重量,体積,体積
B09T2ZZCRZ,サイズ: L | 色: ブラック,取り扱い案内:水拭き,ecoofee,[ecoofee] リュック ビジネスリュック メンズ 防水 15.6インチ PCリュック 止水ファスナー 軽量 リックサックメンズ 大容量 A4収納可 通勤 バックパック 薄型 高校生 通学 出張 旅行,https://www.amazon.co.jp/s?k=ecoofee,https://www.amazon.co.jp/dp/B09T2ZZCRZ,https://m.media-amazon.com/images/I/51CfvE4qiuL._AC_US600_.jpg,B0D3113PLQ,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,310,129,0.29,メンズタウンリュック・ビジネスリュック,3,"4,922",141%,"23,913,242","2,000 ","9,998,000 ",4,"4,999.00",,￥500.00,21,"4,354",164,4.4 ,3.33%,603.00,88%,,2022-02-26,885 ,FBA,,9,2,Beiin,FBA,CN,"会社名：Changshashibeiyixinkejiyouxiangongsi
電話番号：+8619924535610
オフィス住所：
谷苑路229号海凭园2栋411-1号
长沙市
高新开发区
湖南省
410000
CN
マネージャー：zihua zheng",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1TL4679G0ZK96,Y,,,,,Y,,Y,Y,ビジネスリュック コンパクト,1.09 kg,1.09 kg,30 x 15 x 45 cm,30.00 x 15.00 x 45.00 cm
B0CZKYYQL6,サイズ: L | 色: ダークグレー,,ecoofee,[ecoofee] リュック ビジネスリュック メンズ 防水 15.6インチ PCリュック 止水ファスナー 軽量 リックサックメンズ 大容量 A4収納可 通勤 バックパック 薄型 高校生 通学 出張 旅行,https://www.amazon.co.jp/s?k=ecoofee,https://www.amazon.co.jp/dp/B0CZKYYQL6,https://m.media-amazon.com/images/I/71a3u-YXTbL._AC_US600_.jpg,B0D3113PLQ,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,455,55,0.11,メンズタウンリュック・ビジネスリュック,4,"4,922",,"27,569,894",200 ,"999,800 ",4,"4,999.00",,,,"4,347",158,4.4 ,3.21%,603.00,88%,,2024-04-29,92 ,FBA,,9,2,Beiin,FBA,CN,"会社名：Changshashibeiyixinkejiyouxiangongsi
電話番号：+8619924535610
オフィス住所：
谷苑路229号海凭园2栋411-1号
长沙市
高新开发区
湖南省
410000
CN
マネージャー：zihua zheng",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1TL4679G0ZK96,,,,,,,,Y,Y,,800 g,800.00 g,15 x 30 x 45 cm,15.00 x 30.00 x 45.00 cm
B0CZDP2Z8Z,サイズ: L | 色: ブラック720,,ecoofee,[ecoofee] リュック ビジネスリュック メンズ 防水 15.6インチ PCリュック 止水ファスナー 軽量 リックサックメンズ 大容量 A4収納可 通勤 バックパック 薄型 高校生 通学 出張 旅行,https://www.amazon.co.jp/s?k=ecoofee,https://www.amazon.co.jp/dp/B0CZDP2Z8Z,https://m.media-amazon.com/images/I/21gtiJaWnuL._AC_US600_.jpg,B0D3113PLQ,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,241,198,0.45,メンズタウンリュック・ビジネスリュック,4,"4,922",141%,"24,825,484",300 ,"1,499,700 ",4,"4,999.00",,5%,,"4,353",163,4.4 ,3.31%,603.00,88%,,2024-04-02,119 ,FBA,,9,1,BINJAN,FBA,CN,"会社名：guangzhoubinjiandianzishangwuyouxiangongsi
電話番号：+8615558045752
オフィス住所：
增城区派潭镇玉枕村中围一巷
31号101房
广州市
广东
511300
CN
マネージャー：kehan wu",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AQDAC5I7HCQXH,Y,,,,,Y,,Y,Y,ビジネスリュック コンパクト,800 g,800.00 g,15 x 30 x 45 cm,15.00 x 30.00 x 45.00 cm
B0D2R6RGLL,サイズ: L | 色: ブルー,,ecoofee,[ecoofee] リュック ビジネスリュック メンズ 防水 15.6インチ PCリュック 止水ファスナー 軽量 リックサックメンズ 大容量 A4収納可 通勤 バックパック 薄型 高校生 通学 出張 旅行,https://www.amazon.co.jp/s?k=ecoofee,https://www.amazon.co.jp/dp/B0D2R6RGLL,https://m.media-amazon.com/images/I/71tEKNsntJL._AC_US600_.jpg,B0D3113PLQ,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,436,24,0.05,メンズタウンリュック・ビジネスリュック,4,"4,922",,"28,598,740",300 ,"1,499,700 ",4,"4,999.00",,,,"4,345",157,4.4 ,3.19%,603.00,88%,,2024-04-29,92 ,FBA,,9,2,Beiin,FBA,CN,"会社名：Changshashibeiyixinkejiyouxiangongsi
電話番号：+8619924535610
オフィス住所：
谷苑路229号海凭园2栋411-1号
长沙市
高新开发区
湖南省
410000
CN
マネージャー：zihua zheng",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1TL4679G0ZK96,,,,,,,,Y,Y,,800 g,800.00 g,15 x 30 x 45 cm,15.00 x 30.00 x 45.00 cm
B0D3113PLQ,サイズ: L | 色: ブラック,取り扱い案内:水拭き,ecoofee,[ecoofee] リュック ビジネスリュック メンズ 防水 15.6インチ PCリュック 止水ファスナー 軽量 リックサックメンズ 大容量 A4収納可 通勤 バックパック 薄型 高校生 通学 出張 旅行,https://www.amazon.co.jp/s?k=ecoofee,https://www.amazon.co.jp/dp/B0D3113PLQ,https://m.media-amazon.com/images/I/31jAHGLZn2L._AC_US600_.jpg,B0D3113PLQ,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,227,,,メンズタウンリュック・ビジネスリュック,4,"4,922",,"19,683,078","2,000 ","7,998,000 ",4,"3,999.00",,,,"4,330",,4.4 ,,,100%,,2024-04-29,92 ,FBA,,9,2,Beiin,FBA,CN,"会社名：Changshashibeiyixinkejiyouxiangongsi
電話番号：+8619924535610
オフィス住所：
谷苑路229号海凭园2栋411-1号
长沙市
高新开发区
湖南省
410000
CN
マネージャー：zihua zheng",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1TL4679G0ZK96,,,,,,,,Y,Y,,,,,
B0BGRSMG6V,サイズ: XL | 色: ブラック,外装素材:ポリエステル,BEACO,[BEACO] 【高撥水 × 軽量モデル】 荷物を濡らさない 梅雨対策 リュックカバー 通勤 通学 防水コーディング ダブルベルト,https://www.amazon.co.jp/s?k=BEACO,https://www.amazon.co.jp/dp/B0BGRSMG6V,https://m.media-amazon.com/images/I/61AYuQOpwbL._AC_US600_.jpg,B0BGRR4KGN,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ:レインカバー,ファッション,"1,079",-609,-1.3,アウトドアバッグ用レインカバー,2,"4,599",,"7,726,320",50 ,"84,000 ",25,"1,680.00",,,4,594,42,4.3 ,0.91%,318.00,81%,,2022-11-07,631 ,FBA,,9,1,BEACO（商標登録第6212191号）,FBA,JP,"会社名：凛プロダクト株式会社
電話番号：+818011253571
オフィス住所：
下鶴間５１５９
大和市
神奈川県
2420001
JP
マネージャー：RinProduct",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A31NGA2RPG67TS,,,,,,,,Y,Y,,,,20 x 3 x 16 cm,20.00 x 3.00 x 16.00 cm
B0BGRSKHV5,サイズ: S | 色: ネイビー,外装素材:ポリエステル,BEACO,[BEACO] 【高撥水 × 軽量モデル】 荷物を濡らさない 梅雨対策 リュックカバー 通勤 通学 防水コーディング ダブルベルト,https://www.amazon.co.jp/s?k=BEACO,https://www.amazon.co.jp/dp/B0BGRSKHV5,https://m.media-amazon.com/images/I/61TlnlzsmcL._AC_US600_.jpg,B0BGRR4KGN,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ:レインカバー,ファッション,"1,079",-609,-1.3,アウトドアバッグ用レインカバー,2,"4,599",,"5,863,725",100 ,"128,000 ",25,"1,280.00",,,4,594,41,4.3 ,0.89%,288.00,78%,,2022-11-07,631 ,FBA,,9,1,BEACO（商標登録第6212191号）,FBA,JP,"会社名：凛プロダクト株式会社
電話番号：+818011253571
オフィス住所：
下鶴間５１５９
大和市
神奈川県
2420001
JP
マネージャー：RinProduct",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A31NGA2RPG67TS,,,,,,,,Y,Y,,150 g,150.00 g,20 x 3 x 16 cm,20.00 x 3.00 x 16.00 cm
B0BGRSM7D6,サイズ: 2XL | 色: オレンジ,外装素材:ポリエステル,BEACO,[BEACO] 【高撥水 × 軽量モデル】 荷物を濡らさない 梅雨対策 リュックカバー 通勤 通学 防水コーディング ダブルベルト,https://www.amazon.co.jp/s?k=BEACO,https://www.amazon.co.jp/dp/B0BGRSM7D6,https://m.media-amazon.com/images/I/71bCMYn5m-L._AC_US600_.jpg,B0BGRR4KGN,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ:レインカバー,ファッション,929,-459,-0.98,アウトドアバッグ用レインカバー,2,"4,599",,"8,141,656",,,25,"1,780.00",,,4,589,47,4.3 ,1.02%,318.00,82%,,2022-11-07,631 ,FBA,,9,1,BEACO（商標登録第6212191号）,FBA,JP,"会社名：凛プロダクト株式会社
電話番号：+818011253571
オフィス住所：
下鶴間５１５９
大和市
神奈川県
2420001
JP
マネージャー：RinProduct",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A31NGA2RPG67TS,,,,,,,,Y,Y,,,,20 x 3 x 16 cm,20.00 x 3.00 x 16.00 cm
B0BGRT3BHG,サイズ: XL | 色: オレンジ,外装素材:ポリエステル,BEACO,[BEACO] 【高撥水 × 軽量モデル】 荷物を濡らさない 梅雨対策 リュックカバー 通勤 通学 防水コーディング ダブルベルト,https://www.amazon.co.jp/s?k=BEACO,https://www.amazon.co.jp/dp/B0BGRT3BHG,https://m.media-amazon.com/images/I/71bCMYn5m-L._AC_US600_.jpg,B0BGRR4KGN,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ:レインカバー,ファッション,929,-459,-0.98,アウトドアバッグ用レインカバー,2,"4,599",,"7,691,321",,,25,"1,680.00",,,4,593,49,4.3 ,1.07%,318.00,81%,,2022-11-07,631 ,FBA,,9,1,BEACO（商標登録第6212191号）,FBA,JP,"会社名：凛プロダクト株式会社
電話番号：+818011253571
オフィス住所：
下鶴間５１５９
大和市
神奈川県
2420001
JP
マネージャー：RinProduct",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A31NGA2RPG67TS,,,,,,,,Y,Y,,,,20 x 3 x 16 cm,20.00 x 3.00 x 16.00 cm
B0BGRVJXLW,サイズ: 2XL | 色: グリーン,外装素材:ポリエステル,BEACO,[BEACO] 【高撥水 × 軽量モデル】 荷物を濡らさない 梅雨対策 リュックカバー 通勤 通学 防水コーディング ダブルベルト,https://www.amazon.co.jp/s?k=BEACO,https://www.amazon.co.jp/dp/B0BGRVJXLW,https://m.media-amazon.com/images/I/61qcQa3Bo1L._AC_US600_.jpg,B0BGRR4KGN,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ:レインカバー,ファッション,929,-510,-1.22,アウトドアバッグ用レインカバー,2,"4,599",,"8,149,795",,,25,"1,780.00",,,4,594,41,4.3 ,0.89%,455.00,74%,,2022-11-07,631 ,FBA,,7,1,BEACO（商標登録第6212191号）,FBA,JP,"会社名：凛プロダクト株式会社
電話番号：+818011253571
オフィス住所：
下鶴間５１５９
大和市
神奈川県
2420001
JP
マネージャー：RinProduct",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A31NGA2RPG67TS,,,,,,,,Y,Y,,,,20 x 3 x 16 cm,20.00 x 3.00 x 16.00 cm
