ASIN,SKU,製品概要,ブランド,タイトル,タイトルリンク,URL,メイン画像,親ASIN,カテゴリー,親カテゴリー,親カテゴリーBSR,親カテゴリーBSR増加数,親カテゴリーBSR成長率,子カテゴリー,子カテゴリーBSR,月間販売数,月間販売数成長率,月間販売額(￥),子ASIN販売数,子ASIN販売額(￥),バリエーション数,価格(￥),prime価格(￥),Coupon,Q&A,評価数,月間評価値増加数,評価値,評価率,FBA(￥),粗利益,等級,出品日付,販売時間,配送方法,配送料金(￥),LQS,セラー数,BuyBoxセラー,BuyBoxタイプ,セラー所在地,セラー情報,セラーリンク,Best Sellerマーク,スポンサー,ブランド紹介,スポンサー ブランド,タイムセール,Amazon's Choice,New Releaseマーク,A+ページ,動画紹介,ACキーワード,重量,重量.1,体積,体積.1
B09T2ZZCRZ,サイズ: L | 色: ブラック,取り扱い案内:水拭き,ecoofee,[ecoofee] リュック ビジネスリュック メンズ 防水 15.6インチ PCリュック 止水ファスナー 軽量 リックサックメンズ 大容量 A4収納可 通勤 バックパック 薄型 高校生 通学 出張 旅行,https://www.amazon.co.jp/s?k=ecoofee,https://www.amazon.co.jp/dp/B09T2ZZCRZ,https://m.media-amazon.com/images/I/51CfvE4qiuL._AC_US600_.jpg,B0D3113PLQ,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,310,129,0.29,メンズタウンリュック・ビジネスリュック,3,"4,922",141%,"23,913,242","2,000 ","9,998,000 ",4,"4,999.00",,￥500.00,21.0,"4,354",164,4.4,3.33%,603.00,88%,,2022-02-26,885 ,FBA,,9.0,2.0,Beiin,FBA,CN,"会社名：Changshashibeiyixinkejiyouxiangongsi
電話番号：+8619924535610
オフィス住所：
谷苑路229号海凭园2栋411-1号
长沙市
高新开发区
湖南省
410000
CN
マネージャー：zihua zheng",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1TL4679G0ZK96,Y,,,,,Y,,Y,Y,ビジネスリュック コンパクト,1.09 kg,1.09 kg,30 x 15 x 45 cm,30.00 x 15.00 x 45.00 cm
B0BGRSMG6V,サイズ: XL | 色: ブラック,外装素材:ポリエステル,BEACO,[BEACO] 【高撥水 × 軽量モデル】 荷物を濡らさない 梅雨対策 リュックカバー 通勤 通学 防水コーディング ダブルベルト,https://www.amazon.co.jp/s?k=BEACO,https://www.amazon.co.jp/dp/B0BGRSMG6V,https://m.media-amazon.com/images/I/61AYuQOpwbL._AC_US600_.jpg,B0BGRR4KGN,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ:レインカバー,ファッション,"1,079",-609,-1.3,アウトドアバッグ用レインカバー,2,"4,599",,"7,726,320",50 ,"84,000 ",25,"1,680.00",,,4.0,594,42,4.3,0.91%,318.00,81%,,2022-11-07,631 ,FBA,,9.0,1.0,BEACO（商標登録第6212191号）,FBA,JP,"会社名：凛プロダクト株式会社
電話番号：+818011253571
オフィス住所：
下鶴間５１５９
大和市
神奈川県
2420001
JP
マネージャー：RinProduct",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A31NGA2RPG67TS,,,,,,,,Y,Y,,,,20 x 3 x 16 cm,20.00 x 3.00 x 16.00 cm
B099HX3YS3,サイズ: L | 色: ブルー,,RAKEE,[RAKEE] リュック おしゃれ 人気 バックパック カジュアルリュック 大容量 通学 軽量 防水 丈夫 タウンリュック 5色,https://www.amazon.co.jp/s?k=RAKEE,https://www.amazon.co.jp/dp/B099HX3YS3,https://m.media-amazon.com/images/I/71HklH6eBXL._AC_US600_.jpg,B0D65CRPYM,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,157,62,0.28,メンズタウンリュック・ビジネスリュック,1,"4,358",72%,"17,404,632",100 ,"378,000 ",8,"3,780.00",,5%,27.0,"3,335",51,4.0,1.17%,514.00,86%,,2021-12-20,953 ,FBA,,9.0,2.0,FSD.WG株式会社,FBA,CN,"会社名：xiamenaiyiyadianzishangwuyouxiangongsi-chenqingyi
オフィス住所：
xia men shi hu li qu hou pu she 58 hao 201 shi
マネージャー：松下",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A12ENRUG15FGW,Y,,,,,,,Y,Y,,680 g,680.00 g,45 x 30 x 18 cm,45.00 x 30.00 x 18.00 cm
B08DCYR5GH,色: グレー,取り扱い案内:水拭き,AISFA,[AISFA] リュック メンズ リュックサック スクエア バックパック 防水15.6インチ PC ビジネス ラップトップバック USB充電ポート付き 30L アウトドア旅行 通勤 靴/弁当収納,https://www.amazon.co.jp/s?k=AISFA,https://www.amazon.co.jp/dp/B08DCYR5GH,https://m.media-amazon.com/images/I/81AkfErAWJL._AC_US600_.jpg,B07S1WYQ6P,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,483,371,0.43,メンズタウンリュック・ビジネスリュック,3,"3,922",,"32,694,068",100 ,"899,900 ",7,"8,999.00",,,77.0,"4,485",59,4.3,1.50%,603.00,89%,,2019-05-19,"1,899 ",,,9.0,1.0,AISFA Direct-Japan,,CN,"会社名：深圳市奥塞发科技有限公司
電話番号：+861868153964
オフィス住所：
横岗镇六约社区家必备工业园宿舍楼11105
マネージャー：AISFATechnology Co.,",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1XC2R2SGNH6QO,,,,,,,,Y,Y,,1 kg,1.00 kg,17 x 32 x 46 cm,17.00 x 32.00 x 46.00 cm
B07YVCGZKT,,,Ｙヤクニタツ,[Ｙヤクニタツ] チェストストラップ リュックずれ落ち防止ストラップ ショルダーずり落ち防止バンド バックル式 調整可能 バックパック/リュックベルト 肩紐固定大人 子供 適用 ブラック,https://www.amazon.co.jp/s?k=Ｙヤクニタツ,https://www.amazon.co.jp/dp/B07YVCGZKT,https://m.media-amazon.com/images/I/41JJDZuJi5L._AC_US600_.jpg,B07YVCGZKT,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ,ファッション,310,-91,-0.42,リュックアクセサリ,1,"3,425",,"819,020","2,000 ","478,000 ",1,239.00,,,4.0,"4,154",72,3.6,2.10%,368.00,,,2019-10-06,"1,759 ",FBA,,7.0,17.0,東泉株式会社,FBA,JP,"会社名：fumi kawashima
電話番号：+819095509245
オフィス住所：
南区井尻一丁目103
福岡市
福岡県
811-1302
JP
マネージャー：fumi kawashima",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A38NWSHWW87EXU,,,,,,,,Y,Y,,40 g,40.00 g,18 x 2 x 12 cm,18.00 x 2.00 x 12.00 cm
B07H578N76,サイズ: XL (50-65L) | 色: ミッドナイトブルー,クロージャータイプ:バックル | 外装素材:ポリウレタン,Frelaxy,[Frelaxy] リュックカバー 防水 7色 5サイズ ザックカバー 2倍以上の防水性 四つの防水設計 落下防止 収納袋,https://www.amazon.co.jp/s?k=Frelaxy,https://www.amazon.co.jp/dp/B07H578N76,https://m.media-amazon.com/images/I/61d3lN8nSxL._AC_US600_.jpg,B07DGS8YDB,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ:レインカバー,ファッション,396,128,0.24,アウトドアバッグ用レインカバー,1,"3,170",,"5,325,600",,,32,"1,680.00",,,51.0,"4,035",60,4.1,1.89%,455.00,73%,,2018-05-31,"2,252 ",FBA,,9.0,1.0,Frelaxy,FBA,CN,"会社名：Hunan Lixiao Dianzishangwu Youxiangongsi
電話番号：+8618670391937
オフィス住所：
Yueluqu Tiandinjiedao LuyunLu Jinyueyayuan
14dong Aqu 3108-1 hao
Changsha
Hunan
410000
CN
マネージャー：Wang Jiawei",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2ZDMTHMWR5B6,,,,,,,,Y,N,,100 g,100.00 g,19.4 x 13.8 x 5 cm,19.40 x 13.80 x 5.00 cm
B0CZ3J5Y9C,色: 8.黒橡色,,SUNOGE,[SUNOGE] リュック ビジネスリュック バックパック リュックサック 大容量 3way マチ拡張 17インチ PCラップトップバック 多機能 USB充電ポート 盗難防止 防水 撥水加工 耐衝撃 通勤 出張 旅行 通学 メンズ 人気 おしゃれ,https://www.amazon.co.jp/s?k=SUNOGE,https://www.amazon.co.jp/dp/B0CZ3J5Y9C,https://m.media-amazon.com/images/I/91I+U-793hL._AC_US600_.jpg,B09BB2DWXQ,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,933,-67,-0.08,メンズ,8,"2,928",0%,"8,567,796",100 ,"299,900 ",16,"2,999.00",,"￥1,000.00",,"8,116",72,4.1,2.46%,514.00,83%,,2024-03-25,127 ,FBA,,7.0,1.0,SUNOGE,FBA,CN,"会社名：shenzhenshizhuoxunwangluokejiyouxiangongsi
電話番号：13537644654
オフィス住所：
longgangqulonggangjiedaolongganglu10hao
guigudonglidianzishangwugang6lou602shi
shenzhenshi
guangdongsheng
518129
CN
マネージャー：huanggao",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2LH48BB1PGHC0,,,,,,,,Y,Y,,710 g,710.00 g,13 x 31 x 41 cm,13.00 x 31.00 x 41.00 cm
B0CQ8LGJSK,色: アイボリー,,comfox,ボストンバッグ 【リュックにもできる5WAY】（防水ポケット大き目/30Lでも大容量/軽量） スポーツバッグ 旅行バッグ キャリーオンバッグ メンズ レディース 機内持ち込み 1泊 2泊 3泊 ｃｏｍｆｏｘ (コムフォックス),https://www.amazon.co.jp/s?k=comfox,https://www.amazon.co.jp/dp/B0CQ8LGJSK,https://m.media-amazon.com/images/I/61fMtKY6DfL._AC_US600_.jpg,B0CS928PF2,ファッション:バッグ・スーツケース:スーツケース・トラベルバッグ:ボストンバッグ,ファッション,319,393,0.55,ボストンバッグ,1,"2,774",,"8,104,130",300 ,"894,000 ",6,"2,980.00",,,,374,50,4.3,1.80%,514.00,83%,,2023-12-13,230 ,FBA,,9.0,1.0,【公式】comfoxコムフォックス直営,FBA,JP,"会社名：Co-X CO.,LTD.
オフィス住所：
学南町１丁目１７－１４
岡山市北区
岡山県
7000011
JP
マネージャー：中尾亮",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A39YS9EP7G99EN,Y,,,,,,,Y,N,,650 g,650.00 g,46 x 33 x 24 cm,46.00 x 33.00 x 24.00 cm
B09DSRDR68,色: ブラック,取り扱い案内:水拭き,LIKENNY,[LIKENNY] ジムサック リュック ナップサック プールバッグ 防水 軽量 折り畳み 多機能 シューズ収納 バッグ バッグ エコ 運動 旅行 アウトドア スポーツバッグ,https://www.amazon.co.jp/s?k=LIKENNY,https://www.amazon.co.jp/dp/B09DSRDR68,https://m.media-amazon.com/images/I/71ip9DHPgPL._AC_US600_.jpg,B09HT1C7VQ,ファッション:バッグ・スーツケース:スポーツ・フィットネスバッグ:ジムサック・ナップサック,ファッション,467,-31,-0.07,ジムサック・ナップサック,1,"2,623",-2%,"1,937,636","1,000 ","735,000 ",13,735.00,,,3.0,761,34,4.0,1.30%,252.00,66%,,2021-09-19,"1,045 ",FBA,,10.0,1.0,ZHAOHUI ★大量仕入れ! カスタマーサービスに連絡してください。,FBA,CN,"会社名：longyanshizhaohuishanmaoyouxiangongsi
電話番号：+8617052004749
オフィス住所：
xinluoqvcaoxijiedaozhangcaishusheqv
shuanglonglu1haoFqv4zhuangF30
longyanshi
fujiansheng
364000
CN
マネージャー：chenyang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A3T7A4E0CWEYIS,Y,,,,,,,Y,Y,,100 g,100.00 g,50 x 43 x 1 cm,50.00 x 43.00 x 1.00 cm
B0D3ZX92J1,,原産国:中国,ROFA,[ROFA] 2024夏新版 28度最佳肤感 GENKIリュック用 クールパット PCM材質28℃自然凍結 ブラック 自然冷却 クール 熱中症対策 取り付け簡単 ひんやり背中パッド クールパット 背中 保冷リュック リュック用冷感パッド 暑さ対策 冷却 リュック 熱中症対策 グッズ 背中 汗対策,https://www.amazon.co.jp/s?k=ROFA,https://www.amazon.co.jp/dp/B0D3ZX92J1,https://m.media-amazon.com/images/I/91+pX9Y13hL._AC_US600_.jpg,B0D3ZX92J1,ファッション:バッグ・スーツケース:キッズバッグ・財布:ショルダーバッグ・ポシェット,ファッション,714,-591,-4.8,ショルダーバッグ・ポシェット,1,"2,507",502%,"8,897,494","2,000 ","7,960,000 ",1,"3,980.00",,,,49,44,3.9,1.76%,318.00,94%,,2024-05-14,77 ,FBA,,9.0,1.0,いろは株式会社【インボイス対応/適格請求書発行事業者】,FBA,JP,"会社名：いろは株式会社
電話番号：+810664846938
オフィス住所：
南花田町60-17
堺市 大阪府
Osaka
5918011
JP
マネージャー：福嶋 恵",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A32Y0AKJP0A1YO,Y,,,,,,,Y,N,,400 g,400.00 g,35 x 25 x 3 cm,35.00 x 25.00 x 3.00 cm
