ASIN,SKU,製品概要,ブランド,タイトル,タイトルリンク,URL,メイン画像,親ASIN,カテゴリー,親カテゴリー,親カテゴリーBSR,親カテゴリーBSR増加数,親カテゴリーBSR成長率,子カテゴリー,子カテゴリーBSR,月間販売数,月間販売数成長率,月間販売額(￥),子ASIN販売数,子ASIN販売額(￥),バリエーション数,価格(￥),prime価格(￥),Coupon,Q&A,評価数,月間評価値増加数,評価値,評価率,FBA(￥),粗利益,等級,出品日付,販売時間,配送方法,配送料金(￥),LQS,セラー数,BuyBoxセラー,BuyBoxタイプ,セラー所在地,セラー情報,セラーリンク,Best Sellerマーク,スポンサー,ブランド紹介,スポンサー ブランド,タイムセール,Amazon's Choice,New Releaseマーク,A+ページ,動画紹介,ACキーワード,重量,重量,体積,体積
B07YHRRD1J,サイズ: セミダブル・120×200cm | 色: ホワイト,商品の寸法:2長さ x 1.2幅 m | 色:ホワイト | 材質:ポリエステル | サイズ:セミダブル・120×200cm | パターン:無地,STWIENER,"ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 (セミダブル・120×200cm, ホワイト) 厚さ5 cm～30 cmのマットレスに適しています",https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07YHRRD1J,https://m.media-amazon.com/images/I/516OyyVFUML._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,38,14,0.27,ボックスシーツ,1,"17,085",,"35,844,328","1,000 ","2,098,000 ",25,"2,098.00",,,4,"11,255",197,4.1 ,1.15%,465.00,63%,,2019-09-23,"1,772 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,,,,,,Y,,Y,N,セミダブル ボックスシーツ,0.45 キログラム,,200 x 120 x 0 cm,200.00 x 120.00 x 0.00 cm
B07WMWCTL3,サイズ: クイーン・160×200cm | 色: ブラウン,商品の寸法:2長さ x 1.6幅 m | 色:ブラウン | 材質:ポリエステル | サイズ:クイーン・160×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （クイーン・160×200cm ブラウン）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WMWCTL3,https://m.media-amazon.com/images/I/51phBA+8zvL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,3,0.07,ボックスシーツ,1,"17,085",,"38,577,928",100 ,"225,800 ",25,"2,258.00",,,6,"11,240",182,4.1 ,1.07%,485.00,64%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,,,,,,Y,,Y,N,マットレスカバー クイーンサイズ,0.54 キログラム,,200 x 160 x 0 cm,200.00 x 160.00 x 0.00 cm
B07WDRLCZM,サイズ: クイーン・160×200cm | 色: ネイビー,商品の寸法:2長さ x 1.6幅 m | 色:ネイビー | 材質:ポリエステル | サイズ:クイーン・160×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （クイーン・160×200cm ネイビー）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WDRLCZM,https://m.media-amazon.com/images/I/51bfSU4SJqL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,8,0.16,ボックスシーツ,1,"17,085",,"38,577,928",200 ,"451,600 ",25,"2,258.00",,,,"11,240",182,4.1 ,1.07%,485.00,64%,,2019-08-10,"1,816 ",FBA,,7,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.54 キログラム,,200 x 160 x 0 cm,200.00 x 160.00 x 0.00 cm
B07WDRKPFK,サイズ: セミダブル・120×200cm | 色: ブラック,商品の寸法:2長さ x 1.2幅 m | 色:ブラック | 材質:ポリエステル | サイズ:セミダブル・120×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （セミダブル・120×200cm ブラック）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WDRKPFK,https://m.media-amazon.com/images/I/517KEkvM4wL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,35,22,0.39,ボックスシーツ,1,"17,085",2%,"35,844,328","1,000 ","2,098,000 ",25,"2,098.00",,,,"11,252",194,4.1 ,1.14%,514.00,61%,,2019-08-13,"1,813 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,Y,,Y,N,セミダブル シーツ,0.44 キログラム,,20 x 23 x 5 cm,20.00 x 23.00 x 5.00 cm
B07WFWP3XV,サイズ: クイーン・160×200cm | 色: ブラック,商品の寸法:2長さ x 1.6幅 m | 色:ブラック | 材質:ポリエステル | サイズ:クイーン・160×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （クイーン・160×200cm ブラック）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WFWP3XV,https://m.media-amazon.com/images/I/517KEkvM4wL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,37,20,0.35,ボックスシーツ,1,"17,085",,"38,577,928",100 ,"225,800 ",25,"2,258.00",,,6,"11,255",197,4.1 ,1.15%,514.00,62%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.54 キログラム,,20 x 23 x 5 cm,20.00 x 23.00 x 5.00 cm
B07WQ44FSH,サイズ: シングル・100×200cm | 色: ブラック,商品の寸法:2長さ x 1幅 m | 色:ブラック | 材質:ポリエステル | サイズ:シングル・100×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （シングル・100×200cm ブラック）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WQ44FSH,https://m.media-amazon.com/images/I/517KEkvM4wL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,39,20,0.34,ボックスシーツ,1,"17,085",2%,"33,999,152","1,000 ","1,990,000 ",25,"1,990.00",,,6,"11,255",197,4.1 ,1.15%,465.00,62%,,2019-08-13,"1,813 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,Y,,Y,N,ベッドシーツ シングル,0.35 キログラム,,200 x 100 x 0 cm,200.00 x 100.00 x 0.00 cm
B07WFWM3G1,サイズ: ダブル・140×200cm | 色: グレー,商品の寸法:2長さ x 1.4幅 m | 色:グレー | 材質:ポリエステル | サイズ:ダブル・140×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （ダブル・140×200cm グレー）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WFWM3G1,https://m.media-amazon.com/images/I/51biN9X7U-L._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,38,21,0.36,ボックスシーツ,1,"17,085",2%,"37,552,832",900 ,"1,978,200 ",25,"2,198.00",,,4,"11,255",216,4.1 ,1.26%,514.00,62%,,2020-03-24,"1,589 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,Y,,Y,N,ベッドカバー ダブル 夏,0.45 キログラム,,34 x 27.5 x 6 cm,34.00 x 27.50 x 6.00 cm
B07WHZV3NP,サイズ: セミダブル・120×200cm | 色: ブラウン,商品の寸法:2長さ x 1.2幅 m | 色:ブラウン | 材質:ポリエステル | サイズ:セミダブル・120×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （セミダブル・120×200cm ブラウン）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WHZV3NP,https://m.media-amazon.com/images/I/51phBA+8zvL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,11,0.21,ボックスシーツ,1,"17,085",,"35,844,328",500 ,"1,049,000 ",25,"2,098.00",,,5,"11,240",182,4.1 ,1.07%,514.00,61%,,2019-08-13,"1,813 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,,,Y,N,,0.43 キログラム,,20 x 23 x 5 cm,20.00 x 23.00 x 5.00 cm
B07WHZVK4R,サイズ: セミダブル・120×200cm | 色: ネイビー,商品の寸法:2長さ x 1.2幅 m | 色:ネイビー | 材質:ポリエステル | サイズ:セミダブル・120×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭 （セミダブル・120×200cm ネイビー）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WHZVK4R,https://m.media-amazon.com/images/I/51bfSU4SJqL._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,41,11,0.21,ボックスシーツ,1,"17,085",,"35,844,328",800 ,"1,678,400 ",25,"2,098.00",,,3,"11,240",182,4.1 ,1.07%,514.00,61%,,2019-08-10,"1,816 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,,,,,,,,Y,N,,0.45 キログラム,,200 x 120 x 0 cm,200.00 x 120.00 x 0.00 cm
B07WHZV2QN,サイズ: シングル・100×200cm | 色: グレー,商品の寸法:2長さ x 1幅 m | 色:グレー | 材質:ポリエステル | サイズ:シングル・100×200cm | パターン:無地,STWIENER,ボックスシーツ 吸水速乾 シーツ ベッドカバー マットレスカバー 抗菌・防臭（シングル・100×200cm グレー）厚さ5 cm～30 cmのマットレスに適しています,https://www.amazon.co.jp/s?k=STWIENER,https://www.amazon.co.jp/dp/B07WHZV2QN,https://m.media-amazon.com/images/I/51biN9X7U-L._AC_US600_.jpg,B0BF9LZ4YV,ホーム＆キッチン:寝具:寝具カバー・シーツ:ボックスシーツ,ホーム＆キッチン,35,18,0.34,ボックスシーツ,1,"17,085",2%,"33,999,152","1,000 ","1,990,000 ",25,"1,990.00",,,6,"11,252",194,4.1 ,1.14%,318.00,69%,,2019-08-11,"1,815 ",FBA,,9,1,shengweina,FBA,CN,"会社名：fengqiuhuang
電話番号：+8613758215149
オフィス住所：
nantongshichongchuanquqingnianzhonglu77-1
杭州市
浙江省
310016
CN
マネージャー：weinajiafang",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A17VA8LSUYS26D,Y,,,,,Y,,Y,N,ベッド シーツ,0.4 キログラム,,200 x 100 x 0 cm,200.00 x 100.00 x 0.00 cm
