ASIN,SKU,製品概要,ブランド,タイトル,タイトルリンク,URL,メイン画像,親ASIN,カテゴリー,親カテゴリー,親カテゴリーBSR,親カテゴリーBSR増加数,親カテゴリーBSR成長率,子カテゴリー,子カテゴリーBSR,月間販売数,月間販売数成長率,月間販売額(￥),子ASIN販売数,子ASIN販売額(￥),バリエーション数,価格(￥),prime価格(￥),Coupon,Q&A,評価数,月間評価値増加数,評価値,評価率,FBA(￥),粗利益,等級,出品日付,販売時間,配送方法,配送料金(￥),LQS,セラー数,BuyBoxセラー,BuyBoxタイプ,セラー所在地,セラー情報,セラーリンク,Best Sellerマーク,スポンサー,ブランド紹介,スポンサー ブランド,タイムセール,Amazon's Choice,New Releaseマーク,A+ページ,動画紹介,ACキーワード,重量,重量.1,体積,体積.1
B0BGRSMG6V,サイズ: XL | 色: ブラック,外装素材:ポリエステル,BEACO,[BEACO] 【高撥水 × 軽量モデル】 荷物を濡らさない 梅雨対策 リュックカバー 通勤 通学 防水コーディング ダブルベルト,https://www.amazon.co.jp/s?k=BEACO,https://www.amazon.co.jp/dp/B0BGRSMG6V,https://m.media-amazon.com/images/I/61AYuQOpwbL._AC_US600_.jpg,B0BGRR4KGN,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ:レインカバー,ファッション,1079,-609,-1.3,アウトドアバッグ用レインカバー,2,4599,,7726320,50,84000,25,1680,,,4,594,42,4.3,0.0091,318,0.81,,2022/11/07,631,FBA,,9,1,BEACO（商標登録第6212191号）,FBA,JP,"会社名：凛プロダクト株式会社
電話番号：+818011253571
オフィス住所：
下鶴間５１５９
大和市
神奈川県
2420001
JP
マネージャー：RinProduct",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A31NGA2RPG67TS,,,,,,,,Y,Y,,,,20 x 3 x 16 cm,20.00 x 3.00 x 16.00 cm
B07YVCGZKT,,,Ｙヤクニタツ,[Ｙヤクニタツ] チェストストラップ リュックずれ落ち防止ストラップ ショルダーずり落ち防止バンド バックル式 調整可能 バックパック/リュックベルト 肩紐固定大人 子供 適用 ブラック,https://www.amazon.co.jp/s?k=Ｙヤクニタツ,https://www.amazon.co.jp/dp/B07YVCGZKT,https://m.media-amazon.com/images/I/41JJDZuJi5L._AC_US600_.jpg,B07YVCGZKT,ファッション:バッグ・スーツケース:リュック・バックパック:リュックアクセサリ,ファッション,310,-91,-0.42,リュックアクセサリ,1,3425,,819020,2000,478000,1,239,,,4,4154,72,3.6,0.021,368,,,2019/10/06,1759,FBA,,7,17,東泉株式会社,FBA,JP,"会社名：fumi kawashima
電話番号：+819095509245
オフィス住所：
南区井尻一丁目103
福岡市
福岡県
811-1302
JP
マネージャー：fumi kawashima",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A38NWSHWW87EXU,,,,,,,,Y,Y,,40 g,40.00 g,18 x 2 x 12 cm,18.00 x 2.00 x 12.00 cm
B0CQ8LGJSK,色: アイボリー,,comfox,ボストンバッグ 【リュックにもできる5WAY】（防水ポケット大き目/30Lでも大容量/軽量） スポーツバッグ 旅行バッグ キャリーオンバッグ メンズ レディース 機内持ち込み 1泊 2泊 3泊 ｃｏｍｆｏｘ (コムフォックス),https://www.amazon.co.jp/s?k=comfox,https://www.amazon.co.jp/dp/B0CQ8LGJSK,https://m.media-amazon.com/images/I/61fMtKY6DfL._AC_US600_.jpg,B0CS928PF2,ファッション:バッグ・スーツケース:スーツケース・トラベルバッグ:ボストンバッグ,ファッション,319,393,0.55,ボストンバッグ,1,2774,,8104130,300,894000,6,2980,,,,374,50,4.3,0.018,514,0.83,,2023/12/13,230,FBA,,9,1,【公式】comfoxコムフォックス直営,FBA,JP,"会社名：Co-X CO.,LTD.
オフィス住所：
学南町１丁目１７－１４
岡山市北区
岡山県
7000011
JP
マネージャー：中尾亮",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A39YS9EP7G99EN,Y,,,,,,,Y,N,,650 g,650.00 g,46 x 33 x 24 cm,46.00 x 33.00 x 24.00 cm
B0D3ZX92J1,,原産国:中国,ROFA,[ROFA] 2024夏新版 28度最佳肤感 GENKIリュック用 クールパット PCM材質28℃自然凍結 ブラック 自然冷却 クール 熱中症対策 取り付け簡単 ひんやり背中パッド クールパット 背中 保冷リュック リュック用冷感パッド 暑さ対策 冷却 リュック 熱中症対策 グッズ 背中 汗対策,https://www.amazon.co.jp/s?k=ROFA,https://www.amazon.co.jp/dp/B0D3ZX92J1,https://m.media-amazon.com/images/I/91+pX9Y13hL._AC_US600_.jpg,B0D3ZX92J1,ファッション:バッグ・スーツケース:キッズバッグ・財布:ショルダーバッグ・ポシェット,ファッション,714,-591,-4.8,ショルダーバッグ・ポシェット,1,2507,5.02,8897494,2000,7960000,1,3980,,,,49,44,3.9,0.0176,318,0.94,,2024/05/14,77,FBA,,9,1,いろは株式会社【インボイス対応/適格請求書発行事業者】,FBA,JP,"会社名：いろは株式会社
電話番号：+810664846938
オフィス住所：
南花田町60-17
堺市 大阪府
Osaka
5918011
JP
マネージャー：福嶋 恵",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A32Y0AKJP0A1YO,Y,,,,,,,Y,N,,400 g,400.00 g,35 x 25 x 3 cm,35.00 x 25.00 x 3.00 cm
B0D66JN62R,,色:チャコール | ブランド:涼活本舗 | メーカー:クロスプラス株式会社 | ストラップタイプ:調節可能,涼活本舗,[涼活本舗] 冷感 パッド リュック用 28℃ 自然冷却 クール 熱中症対策 取り付け簡単,https://www.amazon.co.jp/s?k=涼活本舗,https://www.amazon.co.jp/dp/B0D66JN62R,https://m.media-amazon.com/images/I/71LI1WQ+weL._AC_US600_.jpg,B0D66CYSJ9,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:レディース,ファッション,25089,-21723,-6.45,レディースタウンリュック・ビジネスリュック,7,2392,0,4797754,2000,3980000,1,1990,,,,48,23,3.7,0.0096,318,0.82,,2024/06/04,56,FBA,,9,1,crossmarche,FBA,JP,"会社名：CROSS PLUS INC
電話番号：+81336695209
オフィス住所：
花の木三丁目９番１３号
名古屋市西区
愛知県
4510062
JP
マネージャー：RINA TADA",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=AEF7936AHJKU2,Y,,,,,,,Y,N,,310 g,310.00 g,1 x 22 x 24.5 cm,1.00 x 22.00 x 24.50 cm
B09FJMKJGD,色: SS22ネイビー,耐水レベル:非防水 | インナー素材:ポリエステル | クロージャータイプ:ファスナー | 外装素材:ナイロン/ポリエステル,Coleman(コールマン),[コールマン]リュック/バックパック ウォーカー25 メンズ/レディース,https://www.amazon.co.jp/s?k=Coleman(コールマン),https://www.amazon.co.jp/dp/B09FJMKJGD,https://m.media-amazon.com/images/I/814Jl+VXj4L._AC_US600_.jpg,B0B79C7Q3K,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,494,259,0.34,メンズタウンリュック・ビジネスリュック,4,2242,,22375160,,,12,9980,,,83,5367,43,4.5,0.0192,815,0.88,,2014/09/30,3591,,,7,1,グローバルショッピングストア,,JP,"会社名：SP.Global
電話番号：+819069540619
オフィス住所：
大田区東矢口
3-1-11
大田区東矢口
東京都
146-0094
JP
マネージャー：hiroyuki mashiko",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1VMJE9JZ5TCNA,,,,,,,,Y,N,,600 g,600.00 g,20 x 31 x 45 cm,20.00 x 31.00 x 45.00 cm
B08CC663V1,色: ピンク,,共同冷蔵株式会社,冷えゾウくん リュック 熱中症対策グッズ おしゃれ 冷却 保冷剤 繰り返し使える 夏場のキッチン 炎天下のｶﾞｰﾃﾞﾆﾝｸﾞ 飲食店の厨房 屋外作業 医療現場 介護現場 運動 釣り 外仕事 暑さ対策 登山 保冷リュック,https://www.amazon.co.jp/s?k=共同冷蔵株式会社,https://www.amazon.co.jp/dp/B08CC663V1,https://m.media-amazon.com/images/I/81RMKdhMm8L._AC_US600_.jpg,B08CCW2WZM,ホーム＆キッチン:生活雑貨:冷却タオル,ホーム＆キッチン,1103,-239,-0.28,冷却タオル,13,1856,,2598400,400,560000,2,1400,,,,356,14,3.6,0.0075,465,0.52,,2020/07/01,1490,FBA,,7,1,共同冷蔵 株式会社,FBA,JP,"会社名：共同冷蔵株式会社
電話番号：0465439600
オフィス住所：
大井町上大井３８９
足柄上郡
神奈川県
2580016
JP
マネージャー：西宮 慶光",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1VRZD47M8WZI5,,,,,,,,,N,,1.06 kg,1.06 kg,26 x 15 x 5 cm,26.00 x 15.00 x 5.00 cm
B09PRBH366,色: ブラック,,RONDE,[RONDE] デイパック リュック 人気 軽量 大容量 通勤 通学 旅行 マザーズバッグ 撥水 キャリーオン PCポケット お出かけ 黒 グレー ネイビー 迷彩 カモフラージュ シンプル ユニセックス レディース,https://www.amazon.co.jp/s?k=RONDE,https://www.amazon.co.jp/dp/B09PRBH366,https://m.media-amazon.com/images/I/61kx1stzJAL._AC_US600_.jpg,B09X5H3Q91,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,3694,-173,-0.05,"レディースタウンリュック・ビジネスリュック
メンズタウンリュック・ビジネスリュック",,1856,1.73,9002175,1000,3980000,4,3980,,,5,1243,42,4.4,0.0226,514,0.87,,2022/03/12,871,FBA,,10,1,【公式】GLEVIO(グレヴィオ),FBA,JP,"会社名：株式会社FUROSHIKI
電話番号：03-6826-0960
オフィス住所：
高輪4-10-18
京急第1ビル 13F
港区
東京都
108-0074
JP
マネージャー：下村 祐貴子",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1B9FZKKF34WJP,,,,,,,,Y,N,,510 g,510.00 g,13 x 31 x 44 cm,13.00 x 31.00 x 44.00 cm
B08W8D86NM,色: イエロー,,LAD WEATHER(ラドウェザー）,[ラドウェザー] リュック メンズ レディース 撥水・防汚 リュックサック 通勤 通学 登山 USB充電ポート付き,https://www.amazon.co.jp/s?k=LAD WEATHER(ラドウェザー）,https://www.amazon.co.jp/dp/B08W8D86NM,https://m.media-amazon.com/images/I/41ea11LdhcL._AC_US600_.jpg,B08W8D86NM,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,,,,,メンズタウンリュック・ビジネスリュック,7,1810,,5212800,,,12,2880,,,15,1828,,3.8,,485,0.83,,2021/02/09,1267,,,9,1,LAD WEATHER (ラドウェザー),,JP,"会社名：株式会社クラージュ
電話番号：050-3186-4433
オフィス住所：
８８９番地３
カ－ネギー丸太町２階
京都市上京区千本通下立売下ル小山
京都府
6028157
JP
マネージャー：山口吉永",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A2VD7PXCKGAUGF,,,,,,,,Y,N,,630 g,630.00 g,28 x 16 x 10 cm,28.00 x 16.00 x 10.00 cm
B085HLVJYP,色: ブラック | スタイル: 2way,取り扱い案内:水拭き,GLEVIO(グレヴィオ),[グレヴィオ] ビジネスリュック メンズ 2way 3way 薄型 大容量 拡張機能付き リュック バックパック USB 黒 グレー ネイビー ブラック,https://www.amazon.co.jp/s?k=GLEVIO(グレヴィオ),https://www.amazon.co.jp/dp/B085HLVJYP,https://m.media-amazon.com/images/I/418dwHZAdzL._AC_US600_.jpg,B0CY2RGV1L,ファッション:バッグ・スーツケース:リュック・バックパック:タウンリュック・ビジネスリュック:メンズ,ファッション,2597,402,0.13,メンズタウンリュック・ビジネスリュック,23,1604,0.76,11884261,400,3032000,9,7580,,,42,6001,46,4.2,0.0287,815,0.89,,2019/12/26,1678,FBA,,9,1,【公式】GLEVIO(グレヴィオ),FBA,JP,"会社名：株式会社FUROSHIKI
電話番号：03-6826-0960
オフィス住所：
高輪4-10-18
京急第1ビル 13F
港区
東京都
108-0074
JP
マネージャー：下村 祐貴子",https://www.amazon.co.jp/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?seller=A1B9FZKKF34WJP,,,,,,,,Y,Y,,960 g,960.00 g,12.5 x 34 x 46 cm,12.50 x 34.00 x 46.00 cm
